CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value
2,100,1,354
2,43,6,78
1,39,0,18
2,40,10,73
1,34,2,28
1,53,1,23
1,45,4,57
1,45,4,57
1,20,4,39
0,27,3,47
0,27,3,47
0,27,3,47
0,27,3,47
0,27,3,47
0,27,3,47
3,14,1,64
0,15,0,33
1,32,0,9
0,32,1,18
0,31,0,51
1,47,0,112
1,55,0,42
1,33,0,43
1,41,0,291
1,48,3,52
3,151,2,97
1,47,3,58
1,9,4,48
1,39,4,42
1,6,1,29
0,26,1,41
1,28,0,12
1,14,1,43
1,32,1,29
1,35,4,52
1,16,0,71
0,17,0,3
2,90,1,101
1,27,4,55
1,36,3,54
3,0,7,88
1,39,1,76
1,28,4,65
1,35,0,16
2,23,5,43
1,12,13,48
1,23,7,63
1,39,1,64
1,30,3,37
2,23,6,53
1,17,0,59
1,27,0,53
2,47,0,74
1,19,15,51
0,14,0,15
0,7,1,20
3,20,26,74
1,34,0,28
1,19,4,103
2,31,4,58
1,31,5,151
0,14,0,13
1,28,6,49
1,22,6,51
1,31,0,49
1,30,3,20
1,35,1,40
2,15,16,72
2,85,1,61
1,26,0,37
4,14,33,87
3,16,31,109
1,35,4,56
1,38,2,69
1,19,3,57
1,33,1,62
3,25,1,78
2,7,8,90
0,30,0,26
1,30,1,56
0,32,1,17
1,43,2,57
1,43,2,57
1,35,2,45
2,35,13,67
1,34,2,30
1,25,6,54
2,28,16,70
2,39,7,51
3,12,26,105
1,36,4,59
0,33,1,9
1,18,0,39
0,16,1,20
2,29,8,75
1,30,7,32
2,10,0,39
6,17,3,78
0,32,2,16
0,32,2,16
0,12,1,30
1,12,5,43
4,78,6,165
1,42,0,26
2,29,1,107
1,35,0,15
1,23,0,35
1,58,0,54
1,15,0,51
3,47,2,109
1,49,0,81
2,44,4,174
1,38,2,53
2,40,5,117
1,48,0,19
1,48,0,19
1,39,0,43
1,35,2,128
1,30,0,28
1,28,1,66
0,35,0,8
1,33,1,78
1,48,0,29
1,54,0,75
1,27,0,55
1,62,0,84
1,29,1,32
1,39,0,63
15,8,52,264
1,32,1,50
1,29,0,60
1,17,0,35
1,35,0,31
3,19,25,116
1,45,0,28
1,30,1,34
1,21,1,67
1,59,0,76
3,2,28,154
2,25,6,97
3,18,23,148
1,21,3,61
1,35,0,17
1,46,0,53
2,16,3,71
1,26,9,36
1,26,9,36
1,28,3,17
1,26,2,15
1,43,3,75
1,40,1,68
1,48,3,29
1,28,4,43
1,33,2,15
1,33,2,15
1,33,2,15
1,33,2,15
1,32,4,46
1,36,2,69
0,36,0,16
1,21,1,58
1,21,0,46
1,25,5,47
1,27,5,44
1,23,5,28
1,15,10,50
3,9,10,137
3,9,10,137
3,9,10,137
1,19,0,11
1,52,1,108
1,29,2,72
1,48,0,226
2,27,13,57
0,35,1,20
2,107,0,180
0,21,0,65
2,13,4,154
1,49,3,43
1,43,0,25
1,43,2,23
0,24,0,49
2,0,23,154
1,44,0,32
27,0,91,415
1,59,0,96
3,6,19,112
1,56,0,69
2,41,6,82
1,15,0,54
1,31,0,39
1,43,0,24
1,34,0,74
1,44,1,51
1,49,1,60
1,49,1,60
1,32,5,57
1,35,1,41
1,42,2,50
1,86,1,19
1,29,0,53
1,41,3,24
1,29,8,48
1,29,8,48
1,29,8,48
1,29,8,48
1,29,8,48
1,29,8,48
1,29,8,48
1,29,8,48
1,29,8,48
1,29,8,48
1,34,5,36
1,45,4,58
0,36,0,27
1,42,1,31
4,168,1,165
1,12,10,74
1,45,3,62
1,31,0,20
1,28,1,27
1,28,1,27
1,28,1,27
1,44,2,64
1,11,2,80
1,43,1,50
1,22,0,64
2,32,6,74
1,32,1,15
1,18,0,25
1,41,2,69
0,22,0,55
2,26,13,55
1,55,1,40
2,23,0,60
0,21,0,20
1,74,0,151
0,20,0,19
1,40,1,43
1,17,3,85
0,23,0,17
1,43,2,78
1,50,4,61
0,32,1,20
0,32,1,20
1,31,3,47
1,27,7,63
1,30,0,56
11,18,8,166
1,56,1,50
1,46,3,60
1,25,4,62
1,16,10,54
1,27,4,36
0,36,0,157
1,30,0,27
1,31,3,76
1,28,0,49
1,23,0,17
2,26,11,52
1,31,2,20
1,40,1,24
2,30,9,58
1,34,1,67
3,5,24,98
1,28,2,31
0,5,1,24
0,5,1,24
0,5,1,24
6,0,9,156
1,12,13,63
1,35,0,25
1,30,11,38
1,3,5,60
1,15,8,44
1,54,0,31
2,18,15,70
2,18,13,69
2,15,18,73
2,15,18,73
0,27,2,20
1,15,8,75
1,24,3,40
0,30,1,21
1,40,0,25
1,12,1,34
1,44,0,60
2,95,2,201
2,7,0,47
1,28,2,27
1,35,2,59
1,36,4,43
1,36,4,43
1,40,4,53
1,40,4,53
1,31,6,51
1,21,0,18
1,27,1,120
0,14,0,15
1,33,1,19
1,7,4,53
0,18,2,43
1,8,2,28
1,13,3,59
1,13,3,59
1,19,4,23
1,19,4,23
1,33,4,50
2,39,8,60
2,39,8,60
1,29,9,56
1,26,2,60
1,33,5,40
1,27,0,93
1,27,0,32
1,39,0,24
0,24,0,17
1,42,2,52
1,23,6,26
1,23,6,26
1,23,6,26
1,23,6,26
1,25,2,31
1,25,4,50
2,70,1,99
1,35,0,29
1,17,4,66
1,11,3,46
3,10,15,204
2,3,7,52
1,40,2,42
1,40,2,42
1,27,2,55
1,23,0,95
1,23,0,95
1,23,0,95
1,23,0,95
1,35,0,26
1,25,3,29
1,24,3,33
1,24,3,35
1,23,4,39
1,140,3,152
2,28,11,66
1,30,0,75
1,44,1,71
1,32,3,59
2,27,5,64
8,15,6,170
1,26,3,28
0,30,1,28
1,48,1,30
1,24,8,12
1,49,2,32
1,49,2,32
1,14,11,29
2,36,2,157
2,7,0,58
1,26,2,34
1,46,1,37
2,30,12,65
1,17,3,56
2,16,13,72
1,26,2,58
1,24,0,121
1,25,3,23
9,6,21,186
0,13,6,22
3,8,5,82
11,6,30,198
1,29,1,108
1,26,1,63
1,28,0,76
1,52,0,60
2,40,0,91
1,23,4,59
1,48,0,57
1,27,1,29
1,21,0,41
1,26,1,39
1,26,1,39
1,47,1,30
1,46,3,53
1,39,0,39
1,37,0,31
1,32,3,44
1,31,1,28
1,24,0,60
1,41,0,7
1,53,0,54
1,40,3,52
1,40,3,52
1,17,0,70
1,16,3,43
1,23,0,33
1,9,0,35
1,9,0,35
1,9,0,35
1,9,0,35
1,48,0,56
1,45,0,72
1,42,1,55
1,59,0,84
8,44,24,162
1,39,0,22
0,14,0,19
0,24,0,73
0,24,0,73
1,38,2,45
1,38,2,45
1,38,2,45
1,37,1,41
1,58,0,68
1,46,0,56
1,19,0,30
1,47,0,51
5,48,12,170
1,48,0,54
0,18,0,20
0,19,0,18
1,34,2,50
1,16,0,45
3,16,1,118
2,38,3,279
1,21,0,42
1,32,3,48
1,87,1,30
1,43,1,74
0,20,0,24
1,38,0,112
0,18,0,30
1,49,0,45
1,65,0,92
1,43,0,16
2,13,2,67
1,31,1,64
1,22,0,56
1,49,0,55
1,32,2,37
1,32,2,37
1,29,0,8
2,25,0,95
1,48,1,40
1,47,2,50
1,38,2,51
1,134,1,164
1,30,0,15
2,36,0,73
0,41,0,26
3,22,11,162
0,45,0,106
1,41,0,18
1,64,0,89
1,44,0,22
1,60,0,57
5,51,8,182
5,51,8,182
0,46,0,37
1,64,0,65
1,33,1,40
1,48,0,27
0,25,1,44
0,37,0,32
1,37,0,29
2,19,4,88
1,28,1,58
3,25,16,150
0,21,0,22
1,50,1,38
1,51,0,59
1,51,0,65
0,22,0,14
1,22,1,46
1,23,0,37
1,37,0,35
1,46,1,59
1,53,0,64
1,54,0,58
1,44,0,23
1,10,0,14
0,31,0,6
1,28,8,53
1,28,8,53
1,28,8,53
1,2,0,28
1,24,4,35
1,36,3,27
3,0,8,106
3,0,7,131
1,60,1,70
4,3,29,81
1,48,2,42
1,31,5,54
1,35,1,26
1,35,1,26
1,45,1,27
1,14,10,37
2,25,11,53
2,25,12,67
2,25,12,67
2,25,12,67
1,44,1,196
1,24,2,39
1,23,3,24
1,28,11,50
1,17,6,60
0,25,0,100
1,28,4,68
1,13,8,36
5,4,29,157
0,36,1,28
1,23,0,40
1,43,2,56
1,37,0,29
1,43,1,41
1,25,1,21
1,25,1,21
1,25,1,21
1,25,1,21
1,23,0,53
3,180,2,167
1,67,0,171
1,29,2,26
1,33,0,20
0,17,0,31
0,17,0,31
1,34,4,42
1,35,1,74
2,5,1,53
1,32,0,6
1,24,0,57
1,23,0,58
1,36,0,27
1,14,8,50
1,14,8,50
1,83,1,185
0,22,0,28
1,23,16,63
1,23,16,63
1,23,16,63
1,28,15,65
1,28,15,65
1,28,15,65
1,36,1,82
1,7,3,30
1,12,0,9
4,3,8,131
1,9,12,47
0,20,0,21
1,30,1,22
0,18,0,32
1,43,0,57
1,27,4,23
1,39,1,55
1,26,3,50
1,26,3,50
1,14,1,39
1,28,1,32
1,34,1,58
0,16,0,19
1,45,0,64
1,48,0,73
0,32,1,22
1,2,0,39
1,2,0,39
1,2,0,39
1,42,1,20
0,32,1,26
0,32,1,59
2,124,1,181
0,23,0,10
0,35,0,17
1,19,8,43
1,37,0,120
0,24,0,82
1,41,0,26
1,30,3,27
0,33,0,69
1,5,0,62
1,48,2,36
1,48,2,36
1,48,2,36
1,48,2,36
1,48,2,36
1,48,2,36
0,9,1,16
1,30,5,54
1,26,10,58
1,19,7,43
1,25,3,33
2,8,17,61
2,8,17,61
2,8,17,61
0,15,0,26
1,62,1,28
1,29,2,79
2,12,16,92
1,31,0,31
0,32,0,28
1,31,2,63
1,34,2,58
0,33,0,38
1,33,5,44
1,33,5,44
1,33,5,44
0,28,1,29
1,10,9,38
1,15,9,41
1,39,3,54
1,26,10,59
1,26,10,59
1,26,10,59
1,30,11,64
1,31,1,8
1,22,4,32
1,37,1,71
1,46,0,57
1,34,0,54
1,30,9,45
2,9,22,77
0,29,1,22
1,35,5,45
1,35,5,45
2,159,2,78
1,27,7,67
1,31,1,21
1,24,5,52
1,36,0,62
3,18,17,75
0,24,0,21
0,25,0,55
1,27,10,47
1,33,1,27
1,36,2,46
1,30,5,24
1,29,4,41
1,21,4,44
1,34,3,70
2,22,0,66
1,55,0,132
0,25,0,84
0,22,0,39
1,29,2,18
1,24,3,72
1,15,1,40
1,39,0,68
0,23,1,25
2,28,2,88
3,23,17,71
1,44,0,16
1,43,1,16
1,23,4,51
3,1,9,98
2,26,0,69
2,40,4,41
0,14,0,24
3,0,9,84
0,21,0,19
0,21,0,19
1,19,6,62
1,26,3,73
0,30,2,51
2,19,0,63
2,30,9,106
1,15,0,39
1,15,0,39
1,30,1,61
1,23,0,33
2,18,19,57
0,31,2,51
1,17,4,33
0,34,1,15
0,33,0,30
5,107,6,178
1,42,0,173
2,4,5,59
1,23,3,34
1,42,2,63
1,11,2,45
1,23,1,65
2,17,4,56
1,33,2,54
1,30,0,38
1,37,1,81
1,9,2,47
1,39,1,64
16,10,16,236
1,25,4,31
1,41,0,52
2,31,6,96
1,28,3,66
1,37,0,12
0,13,0,7
0,32,0,10
1,40,0,25
1,35,2,43
2,10,9,76
1,10,1,33
2,12,0,42
1,14,3,51
1,37,3,78
1,38,3,82
1,26,0,80
1,26,0,80
1,26,0,80
1,26,0,80
1,26,0,80
1,26,0,80
1,14,11,42
1,37,0,59
2,4,3,71
1,23,0,64
1,45,1,26
1,44,1,19
4,4,18,150
1,45,1,60
1,34,3,52
1,37,6,57
1,12,1,54
2,4,6,67
1,12,20,52
1,10,20,73
4,0,15,224
1,16,0,22
1,16,0,22
1,20,4,60
1,17,6,71
1,30,2,26
2,20,17,59
1,27,0,40
1,14,0,29
1,14,0,29
1,29,2,31
1,44,0,30
1,44,0,30
1,16,2,47
1,16,2,47
1,16,2,47
1,16,2,47
1,16,2,47
1,26,3,63
1,28,2,35
1,18,2,31
1,26,1,77
1,28,1,5
1,41,1,68
1,43,2,78
1,24,0,113
1,20,6,60
1,20,6,60
1,25,5,52
2,5,3,90
2,5,3,90
1,18,7,63
2,26,6,57
1,35,4,13
1,30,3,53
0,32,2,46
1,37,4,47
0,34,1,39
0,33,1,31
0,33,0,25
1,29,5,29
1,29,5,29
1,27,3,47
2,26,12,54
1,41,0,9
1,28,2,113
1,25,7,35
2,23,21,63
2,19,16,56
2,19,16,56
2,19,16,56
2,19,16,56
2,19,16,56
1,29,2,72
1,14,0,40
2,14,0,57
1,9,4,51
2,17,18,59
2,17,18,59
1,46,4,51
0,32,2,37
3,145,3,107
2,137,2,81
1,37,0,34
1,18,0,56
1,44,4,36
1,21,4,69
1,40,2,90
1,30,1,61
2,14,20,64
0,35,1,41
2,3,7,77
2,51,0,97
1,34,0,34
2,23,14,87
2,27,11,55
2,34,7,72
1,31,0,20
1,25,10,50
0,21,0,23
1,26,4,41
2,27,13,74
1,31,0,32
1,25,1,41
1,28,2,55
1,32,0,15
4,2,34,140
1,26,0,45
1,39,1,62
1,29,1,56
1,36,5,94
0,26,0,30
2,0,23,74
1,13,1,32
1,38,1,51
2,11,20,88
2,15,19,81
2,15,19,81
2,15,19,81
1,6,3,44
4,4,7,103
3,9,11,94
1,27,3,50
1,28,4,43
1,42,6,33
1,42,6,33
1,35,0,32
0,32,2,37
2,28,11,54
2,28,11,54
0,14,0,21
2,1,8,60
1,24,4,48
0,19,1,25
2,34,0,69
1,20,0,54
1,43,3,30
1,35,6,47
0,21,1,42
1,35,0,63
1,42,0,196
1,7,2,42
1,34,0,42
1,28,1,13
1,38,2,67
0,34,0,467
3,15,6,150
2,16,19,61
1,15,4,48
1,15,4,48
1,40,0,19
3,7,8,102
1,39,2,22
1,32,2,31
1,42,0,58
1,40,0,8
1,40,0,25
0,23,0,167
0,29,0,7
0,28,2,21
0,28,2,21
11,15,15,188
1,30,1,57
1,37,3,18
1,40,2,21
1,32,2,32
1,48,2,25
1,32,0,28
4,178,3,132
1,38,2,24
2,28,14,72
1,28,5,54
1,18,4,34
1,28,5,52
1,39,1,60
1,10,3,34
1,37,1,36
1,29,4,50
1,23,4,79
1,23,4,79
2,12,24,70
2,12,24,70
1,43,0,25
1,50,3,43
3,182,1,151
1,25,7,39
1,44,0,34
1,30,3,34
1,30,3,34
1,30,3,34
1,23,1,60
1,25,4,50
0,22,0,15
1,27,0,31
15,0,24,240
15,0,24,240
15,0,24,240
1,48,3,39
1,17,0,45
1,17,0,45
1,17,0,45
1,17,0,45
1,17,0,45
1,17,0,45
1,17,0,45
1,17,0,45
1,17,0,45
1,17,0,45
2,2,14,83
2,2,14,83
1,15,17,55
1,15,17,55
1,15,17,55
1,15,17,55
1,15,17,55
1,15,17,55
1,15,17,55
1,15,17,55
2,5,13,79
0,25,0,84
1,37,2,20
2,9,20,66
2,9,20,66
2,9,20,66
2,3,7,70
2,3,7,70
2,3,7,70
2,3,7,70
2,3,7,70
2,3,7,70
2,3,7,70
2,3,7,70
2,18,7,85
2,18,7,85
2,18,7,85
2,18,7,85
2,18,7,85
2,11,7,83
1,45,0,90
1,21,4,65
1,37,2,34
1,30,3,52
1,23,4,65
1,29,3,52
1,26,3,69
1,31,3,53
1,37,2,66
1,11,11,55
1,34,0,126
1,39,1,64
1,30,1,158
1,36,3,17
1,32,0,20
1,47,1,43
0,23,0,53
0,14,0,35
